id,label,umls_xref
DOID:0001816,angiosarcoma,UMLS_CUI:C0018923|UMLS_CUI:C0854893
DOID:0002116,pterygium,UMLS_CUI:C0033999
DOID:0014667,disease of metabolism,UMLS_CUI:C0025517
DOID:0040002,aspirin allergy,UMLS_CUI:C0004058
DOID:0040003,benzylpenicillin allergy,UMLS_CUI:C0571411
DOID:0040004,amoxicillin allergy,UMLS_CUI:C0571417
DOID:0040005,ceftriaxone allergy,UMLS_CUI:C0571463
DOID:0040006,carbamazepine allergy,UMLS_CUI:C0570787
DOID:0040009,lidocaine allergy,UMLS_CUI:C0570646
DOID:0040011,phenobarbital allergy,UMLS_CUI:C0570785
DOID:0040012,phenytoin allergy,UMLS_CUI:C0570789
DOID:0040013,ranitidine allergy,UMLS_CUI:C0570577
DOID:0040015,sulfonamide allergy,UMLS_CUI:C0038757
DOID:0040018,thiopental allergy,UMLS_CUI:C0570633
DOID:0040019,D-mannitol allergy,UMLS_CUI:C0571922
DOID:0040020,cefotaxime allergy,UMLS_CUI:C0571457
DOID:0040021,cephalosporin allergy,UMLS_CUI:C0571444
DOID:0040022,amodiaquine allergy,UMLS_CUI:C0571303
DOID:0040023,cefaclor allergy,UMLS_CUI:C0571453
DOID:0040024,ceftazidime allergy,UMLS_CUI:C0571458
DOID:0040025,cefuroxime allergy,UMLS_CUI:C0571454
DOID:0040026,chlorhexidine allergy,UMLS_CUI:C0571344
DOID:0040027,cyclophosphamide allergy,UMLS_CUI:C0570670
DOID:0040028,succinylcholine allergy,UMLS_CUI:C0571140
DOID:0040029,trimethoprim allergy,UMLS_CUI:C0571390
DOID:0040030,cefixime allergy,UMLS_CUI:C0571460
DOID:0040031,diclofenac allergy,UMLS_CUI:C0570540
DOID:0040032,carbapenem allergy,UMLS_CUI:C0571443
DOID:0040033,piperacillin allergy,UMLS_CUI:C0571427
DOID:0040034,rocuronium allergy,UMLS_CUI:C0571149
DOID:0040035,sulfasalazine allergy,UMLS_CUI:C0570587
DOID:0040036,tubocurarine allergy,UMLS_CUI:C0571147
DOID:0040037,aztreonam allergy,UMLS_CUI:C0571476
DOID:0040057,benzoic acid allergic contact dermatitis,UMLS_CUI:C0571102
DOID:0040060,ketoprofen photoallergic dermatitis,UMLS_CUI:C0570547
DOID:0040065,quinidine allergy,UMLS_CUI:C0571881
DOID:0040066,melphalan allergy,UMLS_CUI:C0570673
DOID:0040067,neomycin sulfate allergic contact dermatitis,UMLS_CUI:C1443961
DOID:0040070,co-trimoxazole allergy,UMLS_CUI:C0571504
DOID:0040071,sodium aurothiomalate allergy,UMLS_CUI:C0571155
DOID:0040074,formaldehyde allergic contact dermatitis,UMLS_CUI:C0571339
DOID:0040076,phthalyl group allergy,UMLS_CUI:C0571482
DOID:0040078,gallamine allergy,UMLS_CUI:C0571145
DOID:0040086,Polyomavirus-associated nephropathy,UMLS_CUI:C1697878
DOID:0040091,autoimmune pancreatitis,UMLS_CUI:C2609129
DOID:0040092,juvenile ankylosing spondylitis,UMLS_CUI:C0409675
DOID:0040093,drug-induced lupus erythematosus,UMLS_CUI:C0263591
DOID:0040097,autoimmune vasculitis,UMLS_CUI:C1328843
DOID:0040100,Hirata disease,UMLS_CUI:C0854359
DOID:0050004,seminal vesicle acute gonorrhea,UMLS_CUI:C0578661
DOID:0050117,disease by infectious agent,UMLS_CUI:C0001485
DOID:0050118,La Crosse encephalitis,UMLS_CUI:C0014053
DOID:0050120,hemophagocytic lymphohistiocytosis,UMLS_CUI:C0024291
DOID:0050127,sinusitis,UMLS_CUI:C0149512
DOID:0050133,superficial mycosis,UMLS_CUI:C0031898|UMLS_CUI:C2980104
DOID:0050145,adenoiditis,UMLS_CUI:C0396023
DOID:0050148,laryngotracheitis,UMLS_CUI:C0155811|UMLS_CUI:C0155837
DOID:0050152,aspiration pneumonia,UMLS_CUI:C0032290
DOID:0050156,idiopathic pulmonary fibrosis,UMLS_CUI:C1800706
DOID:0050157,cryptogenic organizing pneumonia,UMLS_CUI:C0242770
DOID:0050158,desquamative interstitial pneumonia,UMLS_CUI:C0238378
DOID:0050161,lower respiratory tract disease,UMLS_CUI:C0029581
DOID:0050166,tuberculous salpingitis,UMLS_CUI:C0152828
DOID:0050175,tick-borne encephalitis,UMLS_CUI:C0014054
DOID:0050214,Lambert-Eaton myasthenic syndrome,UMLS_CUI:C0022972
DOID:0050328,congenital hypothyroidism,UMLS_CUI:C0010308|UMLS_CUI:C0342200
DOID:0050335,bradyopsia,UMLS_CUI:C1842073
DOID:0050424,familial adenomatous polyposis,UMLS_CUI:C0032580
DOID:0050425,restless legs syndrome,UMLS_CUI:C0035258
DOID:0050426,Stevens-Johnson syndrome,UMLS_CUI:C0038325
DOID:0050427,xeroderma pigmentosum,UMLS_CUI:C0043346
DOID:0050428,nonepidermolytic palmoplantar keratoderma,UMLS_CUI:C0022584|UMLS_CUI:C3489771
DOID:0050429,Hailey-Hailey disease,UMLS_CUI:C0085106
DOID:0050430,multiple endocrine neoplasia type 2A,UMLS_CUI:C0025268
DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,UMLS_CUI:C0349788
DOID:0050432,Asperger syndrome,UMLS_CUI:C0236792
DOID:0050433,fatal familial insomnia,UMLS_CUI:C0206042
DOID:0050434,Andersen-Tawil syndrome,UMLS_CUI:C1563715
DOID:0050436,mulibrey nanism,UMLS_CUI:C0524582
DOID:0050437,Danon disease,UMLS_CUI:C0878677
DOID:0050438,Frasier syndrome,UMLS_CUI:C0950122
DOID:0050439,Usher syndrome,UMLS_CUI:C0271097
DOID:0050440,familial partial lipodystrophy,UMLS_CUI:C0271694|UMLS_CUI:C1720859|UMLS_CUI:C1720860|UMLS_CUI:C1720861
DOID:0050441,mucosulfatidosis,UMLS_CUI:C0268263|UMLS_CUI:C1720864
DOID:0050444,infantile Refsum disease,UMLS_CUI:C0282527
DOID:0050445,X-linked dominant hypophosphatemic rickets,UMLS_CUI:C0733682|UMLS_CUI:C1845168|UMLS_CUI:C3540852
DOID:0050448,white sponge nevus,UMLS_CUI:C1721005
DOID:0050449,pachyonychia congenita,UMLS_CUI:C0265334|UMLS_CUI:C1706595|UMLS_CUI:C1721007
DOID:0050450,Gitelman syndrome,UMLS_CUI:C0268450
DOID:0050451,Brugada syndrome,UMLS_CUI:C1142166|UMLS_CUI:C1721096
DOID:0050452,mevalonic aciduria,UMLS_CUI:C0342731|UMLS_CUI:C0398691|UMLS_CUI:C1959626
DOID:0050453,lissencephaly,UMLS_CUI:C0266463|UMLS_CUI:C0266483
DOID:0050454,periventricular nodular heterotopia,UMLS_CUI:C1848213|UMLS_CUI:C1868720
DOID:0050456,Buruli ulcer disease,UMLS_CUI:C0085568
DOID:0050457,Sertoli cell-only syndrome,UMLS_CUI:C1384583
DOID:0050458,juvenile myelomonocytic leukemia,UMLS_CUI:C0349639
DOID:0050459,hyperphosphatemia,UMLS_CUI:C0085681
DOID:0050460,Wolf-Hirschhorn syndrome,UMLS_CUI:C0796117|UMLS_CUI:C1956097
DOID:0050461,aspartylglucosaminuria,UMLS_CUI:C0268225
DOID:0050463,campomelic dysplasia,UMLS_CUI:C1861922|UMLS_CUI:C1861923
DOID:0050464,Farber lipogranulomatosis,UMLS_CUI:C0268255
DOID:0050465,Muir-Torre syndrome,UMLS_CUI:C1321489
DOID:0050466,Loeys-Dietz syndrome,UMLS_CUI:C1836635|UMLS_CUI:C2697932
DOID:0050467,erythrokeratodermia variabilis,UMLS_CUI:C0265961|UMLS_CUI:C1851480
DOID:0050468,yellow nail syndrome,UMLS_CUI:C0221348
DOID:0050469,Costello syndrome,UMLS_CUI:C0587248
DOID:0050470,Donohue syndrome,UMLS_CUI:C0265344|UMLS_CUI:C0271695
DOID:0050471,Carney complex,UMLS_CUI:C0406810|UMLS_CUI:C1854540|UMLS_CUI:C2607929
DOID:0050472,monilethrix,UMLS_CUI:C0546966
DOID:0050473,Alstrom syndrome,UMLS_CUI:C0268425
DOID:0050474,Netherton syndrome,UMLS_CUI:C0265962
DOID:0050475,Weill-Marchesani syndrome,UMLS_CUI:C0265313|UMLS_CUI:C1869114|UMLS_CUI:C1869115
DOID:0050476,Barth syndrome,UMLS_CUI:C0574083
DOID:0050477,Liddle syndrome,UMLS_CUI:C0221043
DOID:0050486,exanthem,UMLS_CUI:C0015230
DOID:0050495,exanthema subitum,UMLS_CUI:C0015231
DOID:0050508,variola major,UMLS_CUI:C1812609
DOID:0050523,adult T-cell leukemia/lymphoma,UMLS_CUI:C0023493
DOID:0050529,adult spinal muscular atrophy,UMLS_CUI:C1838230
DOID:0050530,intermediate spinal muscular atrophy,UMLS_CUI:C0393538
DOID:0050534,congenital stationary night blindness,UMLS_CUI:C1306122
DOID:0050535,exudative vitreoretinopathy,UMLS_CUI:C0004608
DOID:0050539,Charcot-Marie-Tooth disease type 2,UMLS_CUI:C0392553
DOID:0050557,congenital muscular dystrophy,UMLS_CUI:C2937300
DOID:0050580,hereditary lymphedema,UMLS_CUI:C1313885
DOID:0050589,inflammatory bowel disease,UMLS_CUI:C0021390
DOID:0050591,tooth agenesis,UMLS_CUI:C0399352
DOID:0050596,taeniasis,UMLS_CUI:C0152073
DOID:0050597,intestinal schistosomiasis,UMLS_CUI:C0036329|UMLS_CUI:C0036330|UMLS_CUI:C0276932
DOID:0050619,paranasal sinus cancer,UMLS_CUI:C0280334|UMLS_CUI:C0854995|UMLS_CUI:C1335336|UMLS_CUI:C1335337|UMLS_CUI:C1335340
DOID:0050625,biliary tract benign neoplasm,UMLS_CUI:C0345913
DOID:0050647,Arts syndrome,UMLS_CUI:C0796028
DOID:0050651,atrioventricular septal defect,UMLS_CUI:C0014116
DOID:0050654,Baller-Gerold syndrome,UMLS_CUI:C0265308
DOID:0050677,Bjornstad syndrome,UMLS_CUI:C0266006
DOID:0050681,Borjeson-Forssman-Lehmann syndrome,UMLS_CUI:C0265339
DOID:0050684,Bowen-Conradi syndrome,UMLS_CUI:C1859405
DOID:0050685,small cell carcinoma,UMLS_CUI:C0334239
DOID:0050693,Brooke-Spiegler syndrome,UMLS_CUI:C1857941
DOID:0050699,Dent disease,UMLS_CUI:C0878681|UMLS_CUI:C1845167|UMLS_CUI:C1848336
DOID:0050700,cardiomyopathy,UMLS_CUI:C0033141|UMLS_CUI:C0036529|UMLS_CUI:C0878544
DOID:0050742,nicotine dependence,UMLS_CUI:C0028043
DOID:0050759,myotonic dystrophy type 2,UMLS_CUI:C0553604
DOID:0050766,choreaacanthocytosis,UMLS_CUI:C0393576
DOID:0050773,paraganglioma,UMLS_CUI:C0030421
DOID:0050774,rapadilino syndrome,UMLS_CUI:C1849453
DOID:0050778,Meckel syndrome,UMLS_CUI:C0311245
DOID:0050782,Zollinger-Ellison syndrome,UMLS_CUI:C0043515
DOID:0050783,secondary progressive multiple sclerosis,UMLS_CUI:C0751965
DOID:0050784,primary progressive multiple sclerosis,UMLS_CUI:C0751964
DOID:0050785,progressive relapsing multiple sclerosis,UMLS_CUI:C0393666
DOID:0050791,persistent Mullerian duct syndrome,UMLS_CUI:C1849930
DOID:0050792,multiple cutaneous and mucosal venous malformations,UMLS_CUI:C1838437
DOID:0050796,achalasia microcephaly syndrome,UMLS_CUI:C1860212
DOID:0050797,peroxisomal acyl-CoA oxidase deficiency,UMLS_CUI:C1849678
DOID:0050802,Ehlers-Danlos syndrome spondylodysplastic type 2,UMLS_CUI:C1869122
DOID:0050811,congenital adrenal hyperplasia,UMLS_CUI:C0701163
DOID:0050814,temtamy preaxial brachydactyly syndrome,UMLS_CUI:C1854466
DOID:0050820,atrioventricular block,UMLS_CUI:C0004245
