id	name	ICD-10-CM	MeSH	OMIM	SNOMED CT	GTR	gene-symbol	ghr-page
10q26-deletion-syndrome	10q26 deletion syndrome		D002872	609625	718687003,16129004	C2674937	10	https://medlineplus.gov/genetics/chromosome/10
15q11-q13-duplication-syndrome	15q11-q13 duplication syndrome		D025063	608636	723332005	C2675336	15	https://medlineplus.gov/genetics/chromosome/15
15q133-microdeletion	15q13.3 microdeletion		D025063	612001	699254009	C2677613	15	https://medlineplus.gov/genetics/chromosome/15
15q24-microdeletion	15q24 microdeletion		D025063	613406	699308002	C4310804	15	https://medlineplus.gov/genetics/chromosome/15
16p112-deletion-syndrome	16p11.2 deletion syndrome		D025063	611913	699307007	C3150154	16	https://medlineplus.gov/genetics/chromosome/16
16p112-duplication	16p11.2 duplication		D025063	614671	88326002	C3553407	16	https://medlineplus.gov/genetics/chromosome/16
16p122-microdeletion	16p12.2 microdeletion		D025063	136570		C3149276	16	https://medlineplus.gov/genetics/chromosome/16
17-alpha-hydroxylase-17-20-lyase-deficiency	17 alpha-hydroxylase/17,20-lyase deficiency		D000312	202110	124220008	C0268285	CYP17A1	https://medlineplus.gov/genetics/gene/cyp17a1
17-beta-hydroxysteroid-dehydrogenase-3-deficiency	17-beta hydroxysteroid dehydrogenase 3 deficiency		D058490	264300	50658006		HSD17B3	https://medlineplus.gov/genetics/gene/hsd17b3
17q12-deletion-syndrome	17q12 deletion syndrome		D002872,D007674,D003920,D001523	614527	733519008	C3281138	HNF1B	https://medlineplus.gov/genetics/gene/hnf1b
17q12-deletion-syndrome	17q12 deletion syndrome		D002872,D007674,D003920,D001523	614527	733519008	C3281138	LHX1	https://medlineplus.gov/genetics/gene/lhx1
17q12-deletion-syndrome	17q12 deletion syndrome		D002872,D007674,D003920,D001523	614527	733519008	C3281138	17	https://medlineplus.gov/genetics/chromosome/17
17q12-duplication	17q12 duplication		D012640,D002658,D058674,D008607	614526		C3281137	17	https://medlineplus.gov/genetics/chromosome/17
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	CACNA1A	https://medlineplus.gov/genetics/gene/cacna1a
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	CALR	https://medlineplus.gov/genetics/gene/calr
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	NFIX	https://www.ncbi.nlm.nih.gov/gene/4784
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	MAST1	https://www.ncbi.nlm.nih.gov/gene/22983
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	BEST2	https://www.ncbi.nlm.nih.gov/gene/54831
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894	19	https://medlineplus.gov/genetics/chromosome/19
