name	ghr-page	reviewed	published
10q26 deletion syndrome	https://medlineplus.gov/genetics/condition/10q26-deletion-syndrome	2019-09	2020-09-08
15q11-q13 duplication syndrome	https://medlineplus.gov/genetics/condition/15q11-q13-duplication-syndrome	2019-01	2020-09-08
15q13.3 microdeletion	https://medlineplus.gov/genetics/condition/15q133-microdeletion	2016-08	2020-09-08
15q24 microdeletion	https://medlineplus.gov/genetics/condition/15q24-microdeletion	2011-09	2020-09-08
16p11.2 deletion syndrome	https://medlineplus.gov/genetics/condition/16p112-deletion-syndrome	2014-09	2023-07-13
16p11.2 duplication	https://medlineplus.gov/genetics/condition/16p112-duplication	2016-12	2023-03-23
16p12.2 microdeletion	https://medlineplus.gov/genetics/condition/16p122-microdeletion	2017-08	2020-09-08
17 alpha-hydroxylase/17,20-lyase deficiency	https://medlineplus.gov/genetics/condition/17-alpha-hydroxylase-17-20-lyase-deficiency	2016-03	2023-10-27
17-beta hydroxysteroid dehydrogenase 3 deficiency	https://medlineplus.gov/genetics/condition/17-beta-hydroxysteroid-dehydrogenase-3-deficiency	2018-05	2023-10-27
17q12 deletion syndrome	https://medlineplus.gov/genetics/condition/17q12-deletion-syndrome	2017-04	2023-08-02
17q12 duplication	https://medlineplus.gov/genetics/condition/17q12-duplication	2017-04	2023-08-02
19p13.13 deletion syndrome	https://medlineplus.gov/genetics/condition/19p1313-deletion-syndrome	2016-06	2020-09-08
1p36 deletion syndrome	https://medlineplus.gov/genetics/condition/1p36-deletion-syndrome	2014-01	2020-09-08
1q21.1 microdeletion	https://medlineplus.gov/genetics/condition/1q211-microdeletion	2012-10	2020-09-08
1q21.1 microduplication	https://medlineplus.gov/genetics/condition/1q211-microduplication	2014-11	2023-02-01
2-hydroxyglutaric aciduria	https://medlineplus.gov/genetics/condition/2-hydroxyglutaric-aciduria	2013-08	2020-08-18
21-hydroxylase deficiency	https://medlineplus.gov/genetics/condition/21-hydroxylase-deficiency	2020-07	2023-10-27
22q11.2 deletion syndrome	https://medlineplus.gov/genetics/condition/22q112-deletion-syndrome	2019-12	2023-08-23
22q11.2 duplication	https://medlineplus.gov/genetics/condition/22q112-duplication	2015-01	2020-09-08
22q13.3 deletion syndrome	https://medlineplus.gov/genetics/condition/22q133-deletion-syndrome	2020-01	2023-07-13
2q37 deletion syndrome	https://medlineplus.gov/genetics/condition/2q37-deletion-syndrome	2018-10	2020-09-08
3-M syndrome	https://medlineplus.gov/genetics/condition/3-m-syndrome	2018-06	2023-08-17
3-beta-hydroxysteroid dehydrogenase deficiency	https://medlineplus.gov/genetics/condition/3-beta-hydroxysteroid-dehydrogenase-deficiency	2015-04	2023-10-27
3-hydroxy-3-methylglutaryl-CoA lyase deficiency	https://medlineplus.gov/genetics/condition/3-hydroxy-3-methylglutaryl-coa-lyase-deficiency	2017-03	2023-07-26
3-hydroxyacyl-CoA dehydrogenase deficiency	https://medlineplus.gov/genetics/condition/3-hydroxyacyl-coa-dehydrogenase-deficiency	2010-04	2023-07-26
3-methylcrotonyl-CoA carboxylase deficiency	https://medlineplus.gov/genetics/condition/3-methylcrotonyl-coa-carboxylase-deficiency	2008-10	2023-08-18
3-methylglutaconyl-CoA hydratase deficiency	https://medlineplus.gov/genetics/condition/3-methylglutaconyl-coa-hydratase-deficiency	2021-05	2021-05-17
3MC syndrome	https://medlineplus.gov/genetics/condition/3mc-syndrome	2018-07	2020-08-18
3p deletion syndrome	https://medlineplus.gov/genetics/condition/3p-deletion-syndrome	2016-06	2020-09-08
3q29 microdeletion syndrome	https://medlineplus.gov/genetics/condition/3q29-microdeletion-syndrome	2019-05	2023-08-02
3q29 microduplication syndrome	https://medlineplus.gov/genetics/condition/3q29-microduplication-syndrome	2017-08	2022-05-16
46,XX testicular difference of sex development	https://medlineplus.gov/genetics/condition/46xx-testicular-difference-of-sex-development	2008-11	2023-10-26
47,XYY syndrome	https://medlineplus.gov/genetics/condition/47xyy-syndrome	2022-03	2022-03-02
48,XXXY syndrome	https://medlineplus.gov/genetics/condition/48xxxy-syndrome	2018-09	2020-09-08
48,XXYY syndrome	https://medlineplus.gov/genetics/condition/48xxyy-syndrome	2022-04	2023-07-12
49,XXXXY syndrome	https://medlineplus.gov/genetics/condition/49xxxxy-syndrome	2018-09	2020-09-08
5-alpha reductase deficiency	https://medlineplus.gov/genetics/condition/5-alpha-reductase-deficiency	2017-04	2023-10-27
5q minus syndrome	https://medlineplus.gov/genetics/condition/5q-minus-syndrome	2015-11	2020-09-08
5q31.3 microdeletion syndrome	https://medlineplus.gov/genetics/condition/5q313-microdeletion-syndrome	2017-08	2020-09-08
6q24-related transient neonatal diabetes mellitus	https://medlineplus.gov/genetics/condition/6q24-related-transient-neonatal-diabetes-mellitus	2011-02	2020-09-08
7q11.23 duplication syndrome	https://medlineplus.gov/genetics/condition/7q1123-duplication-syndrome	2017-07	2023-08-02
8p11 myeloproliferative syndrome	https://medlineplus.gov/genetics/condition/8p11-myeloproliferative-syndrome	2013-07	2020-09-08
9q22.3 microdeletion	https://medlineplus.gov/genetics/condition/9q223-microdeletion	2017-10	2023-02-01
ACAD9 deficiency	https://medlineplus.gov/genetics/condition/acad9-deficiency	2017-04	2020-08-18
ADCY5-related dyskinesia	https://medlineplus.gov/genetics/condition/adcy5-related-dyskinesia	2017-08	2023-08-18
ADNP syndrome	https://medlineplus.gov/genetics/condition/adnp-syndrome	2017-03	2023-07-13
ALG1-congenital disorder of glycosylation	https://medlineplus.gov/genetics/condition/alg1-congenital-disorder-of-glycosylation	2017-12	2021-11-26
ALG12-congenital disorder of glycosylation	https://medlineplus.gov/genetics/condition/alg12-congenital-disorder-of-glycosylation	2019-02	2021-11-26
ALG6-congenital disorder of glycosylation	https://medlineplus.gov/genetics/condition/alg6-congenital-disorder-of-glycosylation	2014-05	2020-08-18
Aarskog-Scott syndrome	https://medlineplus.gov/genetics/condition/aarskog-scott-syndrome	2017-10	2022-05-27
Abdominal wall defect	https://medlineplus.gov/genetics/condition/abdominal-wall-defect	2016-08	2020-08-18
Abetalipoproteinemia	https://medlineplus.gov/genetics/condition/abetalipoproteinemia	2018-02	2020-08-18
Acatalasemia	https://medlineplus.gov/genetics/condition/acatalasemia	2014-09	2023-07-26
Aceruloplasminemia	https://medlineplus.gov/genetics/condition/aceruloplasminemia	2013-10	2023-07-25
