id	name	ICD-10-CM	MeSH	OMIM	SNOMED CT	GTR
10q26-deletion-syndrome	10q26 deletion syndrome		D002872	609625	718687003,16129004	C2674937
15q11-q13-duplication-syndrome	15q11-q13 duplication syndrome		D025063	608636	723332005	C2675336
15q133-microdeletion	15q13.3 microdeletion		D025063	612001	699254009	C2677613
15q24-microdeletion	15q24 microdeletion		D025063	613406	699308002	C4310804
16p112-deletion-syndrome	16p11.2 deletion syndrome		D025063	611913	699307007	C3150154
16p112-duplication	16p11.2 duplication		D025063	614671	88326002	C3553407
16p122-microdeletion	16p12.2 microdeletion		D025063	136570		C3149276
17-alpha-hydroxylase-17-20-lyase-deficiency	17 alpha-hydroxylase/17,20-lyase deficiency		D000312	202110	124220008	C0268285
17-beta-hydroxysteroid-dehydrogenase-3-deficiency	17-beta hydroxysteroid dehydrogenase 3 deficiency		D058490	264300	50658006	
17q12-deletion-syndrome	17q12 deletion syndrome		D002872,D007674,D003920,D001523	614527	733519008	C3281138
17q12-duplication	17q12 duplication		D012640,D002658,D058674,D008607	614526		C3281137
19p1313-deletion-syndrome	19p13.13 deletion syndrome		D025063	613638		C3150894
1p36-deletion-syndrome	1p36 deletion syndrome		D025063	607872	699306003	C1842870
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897
1q211-microduplication	1q21.1 microduplication		D025063	612475	79649006	C2675891
21-hydroxylase-deficiency	21-hydroxylase deficiency	E25.0	D000312	201910	237753002,71578002,717261006,124221007,840509001,52604008	C1859995,C2936858
22q112-deletion-syndrome	22q11.2 deletion syndrome	D82.1,Q93.81	D004062	145420,192430,188400	77128003,449818005,83092002	CN032444,C0220704,C0012236
22q112-duplication	22q11.2 duplication		D025063	608363	699311001	C2675369
22q133-deletion-syndrome	22q13.3 deletion syndrome		D025063	606232	699310000	C1853490
2-hydroxyglutaric-aciduria	2-hydroxyglutaric aciduria		D020739	236792,613657,615182,600721	698870008,237960000,237961001	C3152055,C1855995,C2746066,C3150909
2q37-deletion-syndrome	2q37 deletion syndrome		D025063	600430	702357000	C2931817
